"","mouse_pair_id","cor","ortho"
"188","3131_ID",0.118904914325507,"pseudopairs_in_mouse_not_human"
"189","3141_ID",-0.0204349242587078,"pseudopairs_in_mouse_not_human"
"190","3144_ID",NA,"pseudopairs_in_mouse_not_human"
"191","3168_ID",-0.26580306803204,"pseudopairs_in_mouse_not_human"
"192","3197_ID",-0.0798816568047337,"pseudopairs_in_mouse_not_human"
"193","3198_ID",0.302147848019066,"pseudopairs_in_mouse_not_human"
"194","3208_ID",NA,"pseudopairs_in_mouse_not_human"
"195","3210_ID",-0.081458805460028,"pseudopairs_in_mouse_not_human"
"196","3213_ID",-0.176252911344455,"pseudopairs_in_mouse_not_human"
"197","3215_ID",0.0743687521844899,"pseudopairs_in_mouse_not_human"
"198","3222_ID",0.0767464439836908,"pseudopairs_in_mouse_not_human"
"199","3227_ID",0.365161352221833,"pseudopairs_in_mouse_not_human"
"200","3230_ID",-0.194009088592035,"pseudopairs_in_mouse_not_human"
"201","3237_ID",0.134184753081209,"pseudopairs_in_mouse_not_human"
"202","3251_ID",NA,"pseudopairs_in_mouse_not_human"
"203","3252_ID",NA,"pseudopairs_in_mouse_not_human"
"204","3254_ID",NA,"pseudopairs_in_mouse_not_human"
"205","3259_ID",-0.367577473371251,"pseudopairs_in_mouse_not_human"
"206","3264_ID",NA,"pseudopairs_in_mouse_not_human"
"207","3266_ID",0.360064142975899,"pseudopairs_in_mouse_not_human"
"208","3273_ID",0.329089512801573,"pseudopairs_in_mouse_not_human"
"209","3287_ID",NA,"pseudopairs_in_mouse_not_human"
"210","3298_ID",NA,"pseudopairs_in_mouse_not_human"
"211","3300_ID",NA,"pseudopairs_in_mouse_not_human"
"212","3307_ID",0.0441465581901731,"pseudopairs_in_mouse_not_human"
"213","3309_ID",-0.0758261309491115,"pseudopairs_in_mouse_not_human"
"214","3312_ID",-0.176793399921791,"pseudopairs_in_mouse_not_human"
"215","3343_ID",NA,"pseudopairs_in_mouse_not_human"
"216","3348_ID",-0.0806372951324552,"pseudopairs_in_mouse_not_human"
"217","3359_ID",0.128203978144561,"pseudopairs_in_mouse_not_human"
"218","3367_ID",-0.134109630472211,"pseudopairs_in_mouse_not_human"
"219","3372_ID",NA,"pseudopairs_in_mouse_not_human"
"220","3378_ID",-0.283037610241171,"pseudopairs_in_mouse_not_human"
"221","3407_ID",NA,"pseudopairs_in_mouse_not_human"
"222","3425_ID",-0.0195479572209319,"pseudopairs_in_mouse_not_human"
"223","3429_ID",-0.145282283292386,"pseudopairs_in_mouse_not_human"
"224","3435_ID",-0.172160070884578,"pseudopairs_in_mouse_not_human"
"225","3438_ID",0.176252911344455,"pseudopairs_in_mouse_not_human"
"226","3440_ID",NA,"pseudopairs_in_mouse_not_human"
"227","3442_ID",NA,"pseudopairs_in_mouse_not_human"
"228","3443_ID",NA,"pseudopairs_in_mouse_not_human"
"229","3446_ID",-0.0644014789664449,"pseudopairs_in_mouse_not_human"
"230","3447_ID",NA,"pseudopairs_in_mouse_not_human"
"231","3449_ID",0.251789873349222,"pseudopairs_in_mouse_not_human"
"232","3456_ID",-0.359804587597778,"pseudopairs_in_mouse_not_human"
"233","3457_ID",-0.0101686498258103,"pseudopairs_in_mouse_not_human"
"234","3466_ID",NA,"pseudopairs_in_mouse_not_human"
"235","3478_ID",0.5,"pseudopairs_in_mouse_not_human"
"236","3480_ID",-0.0251789873349222,"pseudopairs_in_mouse_not_human"
"237","3484_ID",NA,"pseudopairs_in_mouse_not_human"
"238","3487_ID",NA,"pseudopairs_in_mouse_not_human"
"239","3488_ID",NA,"pseudopairs_in_mouse_not_human"
"240","3491_ID",NA,"pseudopairs_in_mouse_not_human"
"241","3509_ID",NA,"pseudopairs_in_mouse_not_human"
"242","3511_ID",0.155263191495674,"pseudopairs_in_mouse_not_human"
"243","3528_ID",NA,"pseudopairs_in_mouse_not_human"
"244","3544_ID",0.264638346754265,"pseudopairs_in_mouse_not_human"
"245","3559_ID",0.20436491412859,"pseudopairs_in_mouse_not_human"
"246","3572_ID",0.302332478557542,"pseudopairs_in_mouse_not_human"
"247","3581_ID",NA,"pseudopairs_in_mouse_not_human"
"248","3583_ID",-0.0241911885397366,"pseudopairs_in_mouse_not_human"
"249","3584_ID",0.201431898679378,"pseudopairs_in_mouse_not_human"
"250","3607_ID",0.120703085744392,"pseudopairs_in_mouse_not_human"
"251","3616_ID",-0.0723532701479166,"pseudopairs_in_mouse_not_human"
"252","3630_ID",-0.02615567124927,"pseudopairs_in_mouse_not_human"
"253","3640_ID",-0.207603738718939,"pseudopairs_in_mouse_not_human"
"254","3641_ID",0.222197108357893,"pseudopairs_in_mouse_not_human"
"255","3642_ID",0.267447028855977,"pseudopairs_in_mouse_not_human"
"256","3651_ID",0.192348564961599,"pseudopairs_in_mouse_not_human"
"257","3665_ID",0.0267655054319692,"pseudopairs_in_mouse_not_human"
"258","3685_ID",0.0623556936718597,"pseudopairs_in_mouse_not_human"
"259","3688_ID",-0.163446581747135,"pseudopairs_in_mouse_not_human"
"260","3696_ID",0.143752625565505,"pseudopairs_in_mouse_not_human"
"261","3707_ID",0.183483439780832,"pseudopairs_in_mouse_not_human"
"262","3708_ID",0.183483439780832,"pseudopairs_in_mouse_not_human"
"263","3709_ID",0.0356476029467498,"pseudopairs_in_mouse_not_human"
"264","3714_ID",-0.154300278331755,"pseudopairs_in_mouse_not_human"
"265","3715_ID",-0.068879846097248,"pseudopairs_in_mouse_not_human"
"266","3730_ID",0.103848522736201,"pseudopairs_in_mouse_not_human"
"267","3731_ID",NA,"pseudopairs_in_mouse_not_human"
"268","3732_ID",-0.324175824175824,"pseudopairs_in_mouse_not_human"
"269","376_ID",-0.197795620690075,"pseudopairs_in_mouse_not_human"
"270","4148_ID",0.605007076885469,"pseudopairs_in_mouse_not_human"
"271","431_ID",-0.165561120821157,"pseudopairs_in_mouse_not_human"
"272","4346_ID",0.278460356985946,"pseudopairs_in_mouse_not_human"
"273","4349_ID",0.30377493489376,"pseudopairs_in_mouse_not_human"
"274","4351_ID",NA,"pseudopairs_in_mouse_not_human"
"275","4359_ID",0.30377493489376,"pseudopairs_in_mouse_not_human"
"276","4413_ID",0.164152090005658,"pseudopairs_in_mouse_not_human"
"277","4426_ID",NA,"pseudopairs_in_mouse_not_human"
"278","450_ID",0.205088184763208,"pseudopairs_in_mouse_not_human"
"279","451_ID",-0.206423014470635,"pseudopairs_in_mouse_not_human"
"280","452_ID",-0.255351434586108,"pseudopairs_in_mouse_not_human"
"281","453_ID",-0.198617376532067,"pseudopairs_in_mouse_not_human"
"282","4552_ID",0.425916350743219,"pseudopairs_in_mouse_not_human"
"283","467_ID",-0.117394633165338,"pseudopairs_in_mouse_not_human"
"284","47_ID",-0.0755057212180612,"pseudopairs_in_mouse_not_human"
"285","485_ID",0.118268032860934,"pseudopairs_in_mouse_not_human"
"286","486_ID",0.706512595509672,"pseudopairs_in_mouse_not_human"
"287","489_ID",NA,"pseudopairs_in_mouse_not_human"
"288","491_ID",0.681813698749507,"pseudopairs_in_mouse_not_human"
"289","492_ID",0.75066966252742,"pseudopairs_in_mouse_not_human"
"290","493_ID",0.0123031399657,"pseudopairs_in_mouse_not_human"
"291","494_ID",-0.357721131186076,"pseudopairs_in_mouse_not_human"
"292","495_ID",-0.0495110024449878,"pseudopairs_in_mouse_not_human"
"293","496_ID",-0.107676989997768,"pseudopairs_in_mouse_not_human"
"294","497_ID",0.14209196786935,"pseudopairs_in_mouse_not_human"
"295","498_ID",0.42630088960805,"pseudopairs_in_mouse_not_human"
"296","500_ID",-0.0146609679156989,"pseudopairs_in_mouse_not_human"
"297","5029_ID",0.525641025641026,"pseudopairs_in_mouse_not_human"
"298","505_ID",0.412727560404851,"pseudopairs_in_mouse_not_human"
"299","507_ID",-0.294287725736232,"pseudopairs_in_mouse_not_human"
"300","512_ID",0.318092174102365,"pseudopairs_in_mouse_not_human"
"301","514_ID",-0.0556113070163159,"pseudopairs_in_mouse_not_human"
"302","515_ID",0.153846153846154,"pseudopairs_in_mouse_not_human"
"303","517_ID",-0.0772401169127297,"pseudopairs_in_mouse_not_human"
"304","519_ID",0.226853851039407,"pseudopairs_in_mouse_not_human"
"305","520_ID",0.172802645727425,"pseudopairs_in_mouse_not_human"
"306","5247_ID",0.437300583618583,"pseudopairs_in_mouse_not_human"
"307","528_ID",0.329075356256915,"pseudopairs_in_mouse_not_human"
"308","529_ID",0.189601530720658,"pseudopairs_in_mouse_not_human"
"309","531_ID",0.374294005276706,"pseudopairs_in_mouse_not_human"
"310","5323_ID",1,"pseudopairs_in_mouse_not_human"
"311","5331_ID",1,"pseudopairs_in_mouse_not_human"
"312","5350_ID",0.273674720276852,"pseudopairs_in_mouse_not_human"
"313","5372_ID",0.278460356985946,"pseudopairs_in_mouse_not_human"
"314","537_ID",0.136725456508805,"pseudopairs_in_mouse_not_human"
"315","538_ID",0.415750915750916,"pseudopairs_in_mouse_not_human"
"316","5396_ID",0.332935555963432,"pseudopairs_in_mouse_not_human"
"317","539_ID",0.0877971132634099,"pseudopairs_in_mouse_not_human"
"318","5458_ID",NA,"pseudopairs_in_mouse_not_human"
"319","5459_ID",NA,"pseudopairs_in_mouse_not_human"
"320","5461_ID",-0.214831270262598,"pseudopairs_in_mouse_not_human"
"321","5469_ID",0.508158052075837,"pseudopairs_in_mouse_not_human"
"322","5472_ID",-0.241890751809064,"pseudopairs_in_mouse_not_human"
"323","5476_ID",0.274166803450348,"pseudopairs_in_mouse_not_human"
"324","5485_ID",0.226651233363683,"pseudopairs_in_mouse_not_human"
"325","5487_ID",0.30377493489376,"pseudopairs_in_mouse_not_human"
"326","5488_ID",0.278460356985946,"pseudopairs_in_mouse_not_human"
"327","548_ID",0.510989010989011,"pseudopairs_in_mouse_not_human"
"328","550_ID",-0.305759686963329,"pseudopairs_in_mouse_not_human"
"329","5511_ID",0.30377493489376,"pseudopairs_in_mouse_not_human"
"330","5512_ID",NA,"pseudopairs_in_mouse_not_human"
"331","5515_ID",NA,"pseudopairs_in_mouse_not_human"
"332","5516_ID",NA,"pseudopairs_in_mouse_not_human"
"333","5534_ID",-0.352884435741349,"pseudopairs_in_mouse_not_human"
"334","5535_ID",0.531847473688087,"pseudopairs_in_mouse_not_human"
"335","5536_ID",0.534601403663197,"pseudopairs_in_mouse_not_human"
"336","5537_ID",-0.0177045177045177,"pseudopairs_in_mouse_not_human"
"337","5538_ID",1,"pseudopairs_in_mouse_not_human"
"338","5539_ID",0.047922780251084,"pseudopairs_in_mouse_not_human"
"339","5540_ID",0.136508494960449,"pseudopairs_in_mouse_not_human"
"340","5541_ID",0.577161580905177,"pseudopairs_in_mouse_not_human"
"341","5542_ID",0.760638430600071,"pseudopairs_in_mouse_not_human"
"342","5543_ID",-0.0970695970695971,"pseudopairs_in_mouse_not_human"
"343","5544_ID",-0.165577583397637,"pseudopairs_in_mouse_not_human"
"344","5545_ID",-0.224664224664225,"pseudopairs_in_mouse_not_human"
"345","5546_ID",-0.129529080712082,"pseudopairs_in_mouse_not_human"
"346","5547_ID",0.30934925186243,"pseudopairs_in_mouse_not_human"
"347","5548_ID",0.251909516916606,"pseudopairs_in_mouse_not_human"
"348","5550_ID",0.187968806773438,"pseudopairs_in_mouse_not_human"
"349","5551_ID",-0.3827636665007,"pseudopairs_in_mouse_not_human"
"350","5552_ID",0.144021268419099,"pseudopairs_in_mouse_not_human"
"351","5553_ID",-0.24886076136084,"pseudopairs_in_mouse_not_human"
"352","5554_ID",0.530029774670775,"pseudopairs_in_mouse_not_human"
"353","5556_ID",0.297049771165707,"pseudopairs_in_mouse_not_human"
"354","5557_ID",0.26380796760408,"pseudopairs_in_mouse_not_human"
"355","5563_ID",0.399017900979695,"pseudopairs_in_mouse_not_human"
"356","5564_ID",-0.0388200761365296,"pseudopairs_in_mouse_not_human"
"357","5566_ID",1,"pseudopairs_in_mouse_not_human"
"358","5571_ID",0.110855287148394,"pseudopairs_in_mouse_not_human"
"359","5578_ID",0.331525364238397,"pseudopairs_in_mouse_not_human"
"360","5580_ID",-0.00184735928611383,"pseudopairs_in_mouse_not_human"
"361","5584_ID",0.0270841096472325,"pseudopairs_in_mouse_not_human"
"362","5587_ID",0.247989423527861,"pseudopairs_in_mouse_not_human"
"363","5591_ID",0.577381164576334,"pseudopairs_in_mouse_not_human"
"364","5596_ID",0.868522454922033,"pseudopairs_in_mouse_not_human"
"365","5599_ID",0.153497240664506,"pseudopairs_in_mouse_not_human"
"366","55_ID",-0.067931031247362,"pseudopairs_in_mouse_not_human"
"367","5607_ID",0.605007076885469,"pseudopairs_in_mouse_not_human"
"368","5609_ID",0.435532845406793,"pseudopairs_in_mouse_not_human"
"369","5612_ID",0.119692365066728,"pseudopairs_in_mouse_not_human"
"370","5613_ID",0.205799074546543,"pseudopairs_in_mouse_not_human"
"371","5614_ID",0.205799074546543,"pseudopairs_in_mouse_not_human"
"372","5615_ID",0.205799074546543,"pseudopairs_in_mouse_not_human"
"373","5616_ID",-0.100429129668688,"pseudopairs_in_mouse_not_human"
"374","5617_ID",-0.110580256842337,"pseudopairs_in_mouse_not_human"
"375","5618_ID",0.666173884107339,"pseudopairs_in_mouse_not_human"
"376","5622_ID",-0.0997210314861978,"pseudopairs_in_mouse_not_human"
"377","5627_ID",0.231935396277756,"pseudopairs_in_mouse_not_human"
"378","5628_ID",0.231935396277756,"pseudopairs_in_mouse_not_human"
"379","5631_ID",-0.00489898193505794,"pseudopairs_in_mouse_not_human"
"380","5632_ID",-0.484706600531729,"pseudopairs_in_mouse_not_human"
"381","5634_ID",-0.165919172668709,"pseudopairs_in_mouse_not_human"
"382","5638_ID",0.427321428489104,"pseudopairs_in_mouse_not_human"
"383","5639_ID",-0.0697310982997141,"pseudopairs_in_mouse_not_human"
"384","5640_ID",0.130455306301626,"pseudopairs_in_mouse_not_human"
"385","5643_ID",0.130647130647131,"pseudopairs_in_mouse_not_human"
"386","5644_ID",0.472657168905462,"pseudopairs_in_mouse_not_human"
"387","5650_ID",0.0879658074941937,"pseudopairs_in_mouse_not_human"
